gap,q,own_gain,hedge,predicted,measured
42,5,1.236,0.994,1.229,1.229
42,7,1.000,0.946,0.946,0.943
42,11,1.104,0.942,1.040,1.037
42,13,1.190,0.945,1.124,1.118
42,17,1.138,0.938,1.068,1.065
42,19,1.121,0.937,1.051,1.052
42,23,1.098,0.933,1.024,1.025
42,29,1.076,0.932,1.003,1.012
42,31,1.071,0.933,0.999,0.996
42,37,1.058,0.933,0.988,0.984
210,5,1.000,1.060,1.060,1.060
210,7,1.000,1.083,1.083,1.079
210,13,1.087,1.103,1.199,1.192
210,17,1.138,1.108,1.261,1.266
210,23,1.098,1.105,1.213,1.230
210,29,1.076,1.101,1.185,1.167
210,31,1.071,1.102,1.179,1.180
210,37,1.058,1.099,1.163,1.156
210,41,1.052,1.100,1.157,1.165
210,43,1.050,1.098,1.153,1.154
